1000268201_693b08cb0e.jpg#0	ピンクのドレスを着た子供は、入り口で階段を登っています。
3579842996_3a62ec1bc7.jpg#1	スペシャルオリンピックスの出場者が競馬場で走ります。
3579842996_3a62ec1bc7.jpg#2	トラックで走っている黄色のシャツを着た女性。
3579842996_3a62ec1bc7.jpg#3	黄色いシャツを着た女性が赤いトラックに沿って走ります。
3579842996_3a62ec1bc7.jpg#4	トラック上のスペシャルオリンピックスウーマンランナー。
3580082200_ea10bf2f68.jpg#0	草の中で動いている男と茶色の犬。
3580082200_ea10bf2f68.jpg#1	男は彼を通り過ぎて走っている犬と交流しています。
3580082200_ea10bf2f68.jpg#2	男は家の近くの畑で犬を訓練しています。
3580082200_ea10bf2f68.jpg#3	男はボールスローを使用して犬に物を投げています。
3580082200_ea10bf2f68.jpg#4	逃げている犬に物を投げる男。
3580375310_46ec3e476c.jpg#0	少年は、アパートの近くの畑でサッカーをしています。
3580375310_46ec3e476c.jpg#1	少年はゴールショットをキックする準備をします
3580375310_46ec3e476c.jpg#2	少年がサッカーボールに向かって走ってそれを蹴ります。
3580375310_46ec3e476c.jpg#3	サッカーボールを蹴ろうとしている少年のアクションショット。
3580375310_46ec3e476c.jpg#4	サッカー選手がサッカーボールに走ります。
3580741947_cc64a83648.jpg#0	ビジネス女性は外を歩きます。
3580741947_cc64a83648.jpg#1	賢く服を着たアジアの女性は、通りの戸口を通り過ぎています。
3580741947_cc64a83648.jpg#2	ビジネスウェアの3人の女性が中庭を歩いています。
3580741947_cc64a83648.jpg#3	ドレススーツを着た3人の女性が建物のそばを歩きます。
3580741947_cc64a83648.jpg#4	ドレスを着ている2人の女性が建物のそばを歩いています。
358114269_96fdb5f7c3.jpg#0	自転車が雪の岩の隣の道路で自転車に乗っています。
358114269_96fdb5f7c3.jpg#1	バイシクリストが雪の近くの道を下って乗っています。
358114269_96fdb5f7c3.jpg#2	黄色のジャケットを着た男が自転車に乗っています。
358114269_96fdb5f7c3.jpg#3	黄色のコートを着た人は、雪の岩を過ぎて自転車に乗っています。
358114269_96fdb5f7c3.jpg#4	自転車のライダーは、冬の間に道路に乗っている間、黄色のジャケットと青いヘルメットを着ています。
3581451227_618854cea4.jpg#0	フラワーガールとリングベアラーが花びらが草にぶつかるのを見ます。
3581451227_618854cea4.jpg#1	フラワーガールは、リングベアラーが監視している間に花びらを落とします。
3581451227_618854cea4.jpg#2	フィールドでの結婚式の後の小さな女の子と男の子
3581451227_618854cea4.jpg#3	黄色いドレスを着た若い女の子、白いスーツを着た小さな男の子。
3581451227_618854cea4.jpg#4	黄色いドレスを着た若い女の子と、草の畑に立っている白いスーツを着た若い男の子がいます。
3581538034_783b7d0d09.jpg#0	バックグラウンドにチューブ構造を備えた水上水上に水道板の上のハーネスで抱えている犬。
3581538034_783b7d0d09.jpg#1	ロープからボード上の海に落とす男。
3581538034_783b7d0d09.jpg#2	スケートボードのような形の大きなスキーを持っている間、男性は水の上に吊り下げられます。
3581538034_783b7d0d09.jpg#3	ジャンプ中に牽引されているウォーターボーダー。
3581538034_783b7d0d09.jpg#4	Waterskierは、背景の不明な構造である水の表面から飛び降ります。
3581818450_546c89ca38.jpg#0	大きな明るい茶色の犬が緑の草の上で走っています。
3581818450_546c89ca38.jpg#1	茶色の犬が緑の草を駆け抜けています。
3581818450_546c89ca38.jpg#2	緑豊かな芝生を横切って走っている黄色の犬。
3581818450_546c89ca38.jpg#3	黄色い犬が緑の草を駆け抜けます。
3581818450_546c89ca38.jpg#4	芝生の上を走る長い髪の犬
3582048078_7bac2d8473.jpg#0	プールから出てくる少年。
3582048078_7bac2d8473.jpg#1	男と男の子がプールにいます。
3582048078_7bac2d8473.jpg#2	父と息子の水泳。
3582048078_7bac2d8473.jpg#3	男と男の子はプールで泳いでいます。
3582048078_7bac2d8473.jpg#4	男と子供は泳いでいます。
3582066525_e9d6377f56.jpg#0	少年は崖が海に飛び込んでいます。
3582066525_e9d6377f56.jpg#1	他の人が見ている間、男が岩から海に飛び込んでいます。
3582066525_e9d6377f56.jpg#2	崖から水に飛び込む男。
3582066525_e9d6377f56.jpg#3	大きな岩から海に飛び降りている男
3582066525_e9d6377f56.jpg#4	他の人が見ているように、人が崖から下の水に飛び降ります。
3582465732_78f77f34ae.jpg#0	トランポリンに座っている少女は、空の空の水筒を投げます。
3582465732_78f77f34ae.jpg#1	トランポリンに座っている女の子が空中に水筒を投げます
3582465732_78f77f34ae.jpg#2	女性が小さなトランポリンの上に座っていて、水のボトルを投げています。
3582465732_78f77f34ae.jpg#3	空中に水筒を投げるミニトランポリンに座っている女性。
3582465732_78f77f34ae.jpg#4	若い女性が明るいピンクのサングラスを着て、小さなトランポリンに座っています。
3582685410_05315a15b8.jpg#0	海の周りに岩を登る2人の女性
3582685410_05315a15b8.jpg#1	2人の女性が海の近くの岩の上を登っています。
3582685410_05315a15b8.jpg#2	2人の女性が海の前の岩の上に登ります。
3582685410_05315a15b8.jpg#3	海洋の大きな岩で水着を着た2人の女性。
3582685410_05315a15b8.jpg#4	入浴スーツを着た2人の女性は、海のそばに岩の山を登ります。
3582689770_e57ab56671.jpg#0	男性、1つの歩行、1つはシャフトの上にバランスが取れています。
3582689770_e57ab56671.jpg#1	別の男の子が彼に向かって歩くと、ある少年は巨大な迫撃砲の銃の上に座っています。
3582689770_e57ab56671.jpg#2	2人の少年は、芝生の緑の畑を越えて軍事記念碑の上を歩きます。
3582689770_e57ab56671.jpg#3	2人が大砲の上にいます。
3582689770_e57ab56671.jpg#4	二人がタンクの上の長い大砲に沿って歩いています。
3582742297_1daa29968e.jpg#0	黒い犬と2匹の茶色と白の犬が泥の中にぶつかります。
3582742297_1daa29968e.jpg#1	3匹の犬が砂の中で遊んでいます。
3582742297_1daa29968e.jpg#2	3匹の犬が畑で遊んでいます。
3582742297_1daa29968e.jpg#3	砂質の畑で3匹の犬が荒れています。
3582742297_1daa29968e.jpg#4	3匹の犬が汚れ畑で追いかけて格闘します。
3582814058_564776f26c.jpg#0	子供と2人の大人のグループが落書きの壁の前に立っています。
3582814058_564776f26c.jpg#1	落書きの壁の前に立っている人々のグループ
3582814058_564776f26c.jpg#2	さまざまな年齢の6人の個人が、落書きで覆われた石の壁の前に立っています。
3582814058_564776f26c.jpg#3	6人が落書きのある壁の前で写真のためにポーズをとっています。
3582814058_564776f26c.jpg#4	一部の若い男の子は、グラフィティによって男性と女性と一緒にポーズをとります。
3582914739_bef2828a06.jpg#0	白いシャツを着たスケーターの女性がトラックに沿ってスケートをしている間、他の人は見ています。
3582914739_bef2828a06.jpg#1	灰色の制服を着た女性がローラーダービーに参加します。
3582914739_bef2828a06.jpg#2	ヘルメットを身に着けている女性は、ローラースケート競技に参加しています。
3582914739_bef2828a06.jpg#3	灰色のヘルメットと黒いセーフティパッドを持っている女性は、写真家を通り過ぎてスケートをします。
3582914739_bef2828a06.jpg#4	アスリートは保護具を着ています。
3582914905_f58db879ae.jpg#0	頭を剃った男と口の中に何かが赤いロープを握っています。
3582914905_f58db879ae.jpg#1	剃毛した頭を持った男が川に立って、ロープの上を握ります。
3582914905_f58db879ae.jpg#2	人は渦巻く水の中にいて、ロープを握っています。
3582914905_f58db879ae.jpg#3	川の流れに対してロープを持っている女性。
3582914905_f58db879ae.jpg#4	赤と白の縞模様のロープを抱えて、急いで水に何かを口に持っている男
3582920844_2742804f3d.jpg#0	長い髪の郵便物が彼の濡れた髪を海の周りに振り回しています。
3582920844_2742804f3d.jpg#1	水中の長い髪の男が頭を振って、水をらせんに吹き付けます。
3582920844_2742804f3d.jpg#2	湖で歩いている男が長い髪を水の中に浸し、すぐに頭を投げて、短い虹色の耳を傾けます。
3582920844_2742804f3d.jpg#3	水中の人。
3582920844_2742804f3d.jpg#4	女性は髪を水でいっぱいにし、周りに水を吹きます。
3583065748_7d149a865c.jpg#0	黒と黒の犬が走っています。
3583065748_7d149a865c.jpg#1	黒と白の犬は、草の上に大きな犬を追いかけます。
3583065748_7d149a865c.jpg#2	ある犬は草の中で別の犬を追いかけます。
3583065748_7d149a865c.jpg#3	草の中を走る2匹のブリンドル犬。
3583065748_7d149a865c.jpg#4	2匹の犬が草の中を走ります。
3583293892_c96af8cd98.jpg#0	彼のチームメイトが監視している間、赤と白の制服を着た野球の投手がボールを投げます。
3583293892_c96af8cd98.jpg#1	マウンドの野球の投手が彼のピッチに寄りかかっています。
3583293892_c96af8cd98.jpg#2	野球の試合で投手がボールを投げる
3583293892_c96af8cd98.jpg#3	赤いシャツを着たピッチャーがボールを投げており、彼のチームメイトはベースの近くでキャッチするのを待っています。
3583293892_c96af8cd98.jpg#4	野球は、「ペプコ」のサインによって赤いジャージの2人の男性によって演じられています。
3583321426_f373c52161.jpg#0	高齢の中東の女性は、タバコのパックを吸うつもりです。
3583321426_f373c52161.jpg#1	緑を身に着けている中東の女性が、タバコの箱を持っている石のステップに座っています。
3583321426_f373c52161.jpg#2	オレンジ色のスカーフを着た女性が、カートンからタバコのパックを引っ張ります。
3583321426_f373c52161.jpg#3	長い緑のドレスとスカーフを身に着けている女性は、タバコのパックと石の構造でウィンストンのタバコのカートンを持っています。
3583321426_f373c52161.jpg#4	タバコのカートンを持ち、コンクリートの階段に座っている赤いスカーフと緑のドレスを持つ女性。
3583516290_1c87a13770.jpg#0	黄色と白いネイティブの服を着た人々との群衆シーン。
3583516290_1c87a13770.jpg#1	お祝いの衣装を着た人々のグループが建物の外に集まっています。
3583516290_1c87a13770.jpg#2	通りに黄色いスタンドを着ている多くの女性。
3583516290_1c87a13770.jpg#3	白と黄色の羽の明るい衣装を着た人々
3583516290_1c87a13770.jpg#4	カラフルな衣装と髪型を着ている人は、路上を行進します。
3583704941_611353857e.jpg#0	馬の騎手がコースに乗っています。
3583704941_611353857e.jpg#1	馬の女性。
3583704941_611353857e.jpg#2	レーシングホースの女性。
3583704941_611353857e.jpg#3	茶色の馬に乗ってヘルメットを持つ女の子
3583704941_611353857e.jpg#4	茶色の馬のライダーは青いシャツを着ています。
3583903436_028b06c489.jpg#0	少年が木製の納屋の前で緑の揺れで遊んでいます。
3583903436_028b06c489.jpg#1	男の子が古い木製の構造の外で緑の揺れを振っています。
3583903436_028b06c489.jpg#2	緑のスイングの少年が納屋の近くの空中に乗ります。
3583903436_028b06c489.jpg#3	若い男の子が古い木製の建物と一緒に振る。
3583903436_028b06c489.jpg#4	少年は納屋の隣で揺れます。
3584196366_a4b43d6644.jpg#0	海岸線の上を飛んでいる鳥の群れ。
3584196366_a4b43d6644.jpg#1	砂浜の上に浮かんだ鳥の群れ。
3584196366_a4b43d6644.jpg#2	ビーチで飛んでいるカモメの群れ。
3584196366_a4b43d6644.jpg#3	カモメの群れがビーチから離陸しています。
3584196366_a4b43d6644.jpg#4	白い鳥のグループが飛行し、1匹の黒い鳥が砂の上に立っています。
3584406900_039f30b34c.jpg#0	子供のグループがスイングで遊んでいます。
3584406900_039f30b34c.jpg#1	上半身裸の男がスイングでバランスをとる2人の子供の隣に立っています。
3584406900_039f30b34c.jpg#2	トップレスの男は、スイングで遊んでいる4人の子供を追い越します。
3584406900_039f30b34c.jpg#3	子供たちは、散歩中にシャツがない男としてスイングセットで遊んでいます。
3584406900_039f30b34c.jpg#4	黄色のスイングセットで立ち上がる2人の男の子がスイング
3584534971_b44f82c4b9.jpg#0	男性が自転車に乗って先導し、他の2人は遠くに続きます。
3584534971_b44f82c4b9.jpg#1	数人の自転車が樹木が茂ったエリアで乗っています。
3584534971_b44f82c4b9.jpg#2	3人のサイクリストが森の近くの標準的な経路を通り抜けます。
3584534971_b44f82c4b9.jpg#3	3人の男性がマウンテンバイクで森林地形と戦っています。
3584534971_b44f82c4b9.jpg#4	3人のマウンテンバイカーが森の中でレースに参加しています。
3584561689_b6eb24dd70.jpg#0	男の子のグループが一緒にバスケットボールをします。
3584561689_b6eb24dd70.jpg#1	バスケットボール選手は、傍受しようとする他のプレイヤーとしてショットをします。
3584561689_b6eb24dd70.jpg#2	一部のティーンエイジャーは、ネットの下にあるバスケットボールのためにスクランブルしています。
3584561689_b6eb24dd70.jpg#3	これらの人々は屋外でバスケットボールをしています。
3584561689_b6eb24dd70.jpg#4	青い空の下でバスケットボールをしている2人の男性
3584603849_6cfd9af7dd.jpg#0	青い平面は、地球に向かうとループを行います。
3584603849_6cfd9af7dd.jpg#1	青、赤、黄色の飛行機が空中を飛んでいます。
3584603849_6cfd9af7dd.jpg#2	青、赤、黄色の平面が空気中にループを行います。
3584603849_6cfd9af7dd.jpg#3	カラフルな曲芸飛行機は、その後ろに煙のトレイルを残します。
3584603849_6cfd9af7dd.jpg#4	飛行機が空中でトリックをし、飛行機の後ろに煙の跡を残します。
3584829998_25e59fdef3.jpg#0	白い犬と白黒の犬が遊んでいますが、さらに2匹の黒犬が彼らに向かって動きます。
3584829998_25e59fdef3.jpg#1	白い犬、2匹の黒い犬、黒と白の犬が野球場の端で遊んでいます。
3584829998_25e59fdef3.jpg#2	犬は野球場で遊んでいます。
3584829998_25e59fdef3.jpg#3	犬は野球場の近くの草の上を走っています。
3584829998_25e59fdef3.jpg#4	犬は野球場で走って遊びます。
3584930205_a3f58a4b7c.jpg#0	男の子のスケートボード
3584930205_a3f58a4b7c.jpg#1	男がスケートボードでオレンジ色のランプから飛び降ります。
3584930205_a3f58a4b7c.jpg#2	スケートボーダーがランプを奪います。
3584930205_a3f58a4b7c.jpg#3	スケートボードスタントをしている人
3584930205_a3f58a4b7c.jpg#4	バックグラウンドの男は、スケートボーダーがジャンプを完了するのを見ています。
3585117340_73e96b6173.jpg#0	犬の山が青い犬のベッドで眠ります。
3585117340_73e96b6173.jpg#1	青い毛布で寝ている4匹の子犬。
3585117340_73e96b6173.jpg#2	斑点のある子犬が昼寝をします。
3585117340_73e96b6173.jpg#3	4枚の白と茶色の子犬が青い毛布で一緒に寝ています。
3585117340_73e96b6173.jpg#4	毛布の真ん中に寄り添う4匹の若い子犬。
3585123310_9a8e94bd2b.jpg#0	白い子犬は哺乳瓶でソファで演奏しています。
3585123310_9a8e94bd2b.jpg#1	3匹の子犬が哺乳瓶の横にソファに横たわっています。
3585123310_9a8e94bd2b.jpg#2	牛乳のボトルを添えたソファに横たわっている3匹の子犬、1つは口が大きく開いています。
3585123310_9a8e94bd2b.jpg#3	牛乳のボトルの隣のソファの3匹の子犬。
3585123310_9a8e94bd2b.jpg#4	3匹の子犬がソファで遊んでいます。
3585487286_ef9a8d4c56.jpg#0	彼らが海の端で遊ぶとき、2つのコリーがbarえています
3585487286_ef9a8d4c56.jpg#1	2匹の犬が波のある空のビーチに飛び乗っています。
3585487286_ef9a8d4c56.jpg#2	ビーチで遊んでいる2匹の犬。
3585487286_ef9a8d4c56.jpg#3	波が後ろに転がっている間、海岸線をbarえる2匹の白い犬と茶色の犬。
3585487286_ef9a8d4c56.jpg#4	2匹の白い犬が走って、彼らの後ろにある海のあるビーチに沿って飛び降りています。
3585488964_1467945775.jpg#0	海岸で2匹の白い犬と茶色の犬と一緒に走っている茶色の犬は、後ろに衝突する波を砕きます。
3585488964_1467945775.jpg#1	3匹の犬がビーチで走り、2匹は未知のオブジェクトで遊んでいます。
3585488964_1467945775.jpg#2	ビーチに沿って走っている赤い襟に乗った2匹の大きな白い犬と1匹のタン犬。
3585488964_1467945775.jpg#3	2匹の黄褐色と白い犬と1匹の日焼け犬が水の近くでビーチを駆け抜けています。
3585488964_1467945775.jpg#4	ビーチに沿って走っている2匹の白い犬と1匹の明るい茶色の犬。
3585495069_33cba06d0a.jpg#0	彼に投げられたボールをかわそうとする空中の少年。
3585495069_33cba06d0a.jpg#1	ドッジボールをしている子供たちのグループ。
3585495069_33cba06d0a.jpg#2	4人がバスケットボールコートでサッカーボールを蹴っています。
3585495069_33cba06d0a.jpg#3	コートでボールをしている4人。
3585495069_33cba06d0a.jpg#4	4人の学校の子供たちがジムでドッジボールをしています
3585598356_8ce815bbb9.jpg#0	髪に紫色の花が付いた衣装を着た2人の女の子は、カメラのポーズをとります。
3585598356_8ce815bbb9.jpg#1	2人のショーガールが一緒にポーズをとっています。
3585598356_8ce815bbb9.jpg#2	2人の女性が異なる表情を見せて、金と紫の衣装を着ています。
3585598356_8ce815bbb9.jpg#3	パープルとゴールドのダンスの衣装を着た2人の女性がポーズをとっています。
3585598356_8ce815bbb9.jpg#4	輝くビキニの2人の女性がポーズをとっています
358559906_d5f3f584f4.jpg#0	ピンクのジャケットを着た女の子が大きな水たまりを歩いています。
358559906_d5f3f584f4.jpg#1	ピンクのコートを着ている間に水たまりで遊んでいる女の子
358559906_d5f3f584f4.jpg#2	ピンクのコートを着た女の子が雨の水たまりに飛び散ります。
358559906_d5f3f584f4.jpg#3	ピンクのコートを持つ若い女の子が浅い水たまりを歩きます。
358559906_d5f3f584f4.jpg#4	ピンクのコートとピンクのboodの女の子は水たまりを歩き回っています。
358607894_5abb1250d3.jpg#0	黒い帽子をかぶった男が箱に手を伸ばします。
358607894_5abb1250d3.jpg#1	黒い帽子をかぶった男が段ボール箱に触れます。
358607894_5abb1250d3.jpg#2	段ボール箱が付いた黒い帽子をかぶった男。
358607894_5abb1250d3.jpg#3	段ボール箱を開ける黒い帽子をかぶっている男。
358607894_5abb1250d3.jpg#4	男は箱を開けています。
3586239953_da4fb3f775.jpg#0	草が茂った丘を転がり落ちる2人の子供
3586239953_da4fb3f775.jpg#1	2人が草の中に横たわり、地面の上に脚と背景に建物があります。
3586239953_da4fb3f775.jpg#2	2人が芝生の丘を転がり落ちます
3586239953_da4fb3f775.jpg#3	二人が草が茂った丘を転がり落ちます。
3586239953_da4fb3f775.jpg#4	2人の若い男の子が芝生の丘を転がり落ちます。
3587009091_37188fd07e.jpg#0	犬は数匹のアヒルの近くで深海を泳いでいます。
3587009091_37188fd07e.jpg#1	泳いでいるアヒルがある水で泳いでいる犬も泳いでいます
3587009091_37188fd07e.jpg#2	犬は3つのアヒル近くの深海で泳ぎます。
3587009091_37188fd07e.jpg#3	犬はアヒルの近くで泳ぎます。
3587009091_37188fd07e.jpg#4	湖で3匹のアヒルと犬が泳いでいます。
3587077732_0933f1677b.jpg#0	少年が水たまりを通り抜けます。
3587077732_0933f1677b.jpg#1	水たまりに飛び散る少年。
3587077732_0933f1677b.jpg#2	少年が外の大きな水たまりを駆け抜けています。
3587077732_0933f1677b.jpg#3	少年が水たまりの水たまりをはねかけています。
3587077732_0933f1677b.jpg#4	水で遊んでいる少年。
3587092143_c63030ed6d.jpg#0	黒い手袋を着たボクサーは、灰色の手袋を着ているボクサーを蹴っています。
3587092143_c63030ed6d.jpg#1	2人の男性がキックボクシングをしています。
3587092143_c63030ed6d.jpg#2	2人の男性がキックボクシングリングでキックボクシングをしています。
3587092143_c63030ed6d.jpg#3	2人の男性がボクシングをキックします。
3587092143_c63030ed6d.jpg#4	リングに2人のMMAファイターがスパーします。
3587449716_3bf1552c36.jpg#0	明るい衣装を着た女の子は、あなたを言うと言う小さな兆候を持っています。
3587449716_3bf1552c36.jpg#1	明るい色と頭飾りの3人の女性が愛のメッセージカードを持っています。
3587449716_3bf1552c36.jpg#2	カラフルな衣装を着た3人の女性があなたのサインを愛しています。
3587449716_3bf1552c36.jpg#3	衣装を着た3人の女性が、「私はあなたを愛している」という書類を持っています。
3587449716_3bf1552c36.jpg#4	精巧な衣装を着た3人の女性が「I Love You」カードを保持しています。
3587596696_9c5964c94d.jpg#0	フリスビーチームがフリスビーの周りを身を寄せ、それぞれがその一部を保持しています。
3587596696_9c5964c94d.jpg#1	人々のグループは、指でフリスビーを持っています。
3587596696_9c5964c94d.jpg#2	人々のグループがフリスビーに2本の指を置きました。
3587596696_9c5964c94d.jpg#3	人々はフリスビーに手を置いた。
3587596696_9c5964c94d.jpg#4	白いフリスビーのegdeに指先を持っている数人の幼い子供たち
3587781729_bd21ce7b11.jpg#0	この写真は、タイヤのスイングで揺れながら微笑んでいる金髪の少年と茶色の髪の少年を示しています。
3587781729_bd21ce7b11.jpg#1	2人の子供が笑って、公園でタイヤスイングで遊んでいます。
3587781729_bd21ce7b11.jpg#2	2人の子供が遊び場でスイングを共有します。
3587781729_bd21ce7b11.jpg#3	2人の子供がタイヤのスイングで一緒に揺れています。
3587781729_bd21ce7b11.jpg#4	2人の子供がタイヤスイングを楽しんでいます。
3587941206_36769c3f1d.jpg#0	少年が野球の試合でピッチを待っているバットを抱きしめます。
3587941206_36769c3f1d.jpg#1	野球の試合でバッティングする小さな男の子。
3587941206_36769c3f1d.jpg#2	青と白のユニフォームを着た少年は、野球の試合でバットを獲得しています。
3587941206_36769c3f1d.jpg#3	少年は野球をします。
3587941206_36769c3f1d.jpg#4	青、白、黄色の野球のユニフォームを身に着けている少年は、ボールを打とうとしています。
3588417747_b152a51c52.jpg#0	階段の脇にある男のスケートボード
3588417747_b152a51c52.jpg#1	男が手すりを滑り落ち、別の人が彼に光を当てます。
3588417747_b152a51c52.jpg#2	誰かが夜に手すりを滑っている写真を撮っている人。
3588417747_b152a51c52.jpg#3	スケートボーダーが暗闇の中で階段のレールを滑り落ちます。
3588417747_b152a51c52.jpg#4	いくつかの階段の近くの手すりをスリッジする若い男
358875403_f357f03713.jpg#0	アヒルはその翼を水の近くに羽ばたきます。
358875403_f357f03713.jpg#1	アヒルは、水の中で翼を羽ばたきます。
358875403_f357f03713.jpg#2	巨大なガチョウは、水から出てくると翼を振っています。
358875403_f357f03713.jpg#3	ガチョウは翼を羽ばたきます。
358875403_f357f03713.jpg#4	大きなガチョウは彼の翼を水の近くに羽ばたきしています。
3589052481_059e5e2c37.jpg#0	男性と女性はカメラに微笑んでいますが、女性はカメラを見ていません。
3589052481_059e5e2c37.jpg#1	男性が、目をそらしている女性の周りに腕をつけて写真を撮るカメラを見ています。
3589052481_059e5e2c37.jpg#2	女性の周りに腕を持っている男性。
3589052481_059e5e2c37.jpg#3	笑顔の女性の周りに腕を持った笑顔の男。
3589052481_059e5e2c37.jpg#4	茶色の髪の男性と女性は写真のためにポーズをとっています。
3589156060_3ed8d6bbc3.jpg#0	男が水で犬と遊んでいます。
3589156060_3ed8d6bbc3.jpg#1	人は浅い池で犬と一緒に遊んでいます。
3589156060_3ed8d6bbc3.jpg#2	湿地にいる濡れた犬と人。
3589156060_3ed8d6bbc3.jpg#3	水の中に立って犬と遊んでいる人がいます。
3589156060_3ed8d6bbc3.jpg#4	水の中に立っている人の前の白い犬が飛び上がっています。
3589267801_5a222e3a60.jpg#0	茶色の犬が砂を掘ります。
3589267801_5a222e3a60.jpg#1	茶色の犬が汚れを掘っています。
3589267801_5a222e3a60.jpg#2	砂を掘って茶色の襟が付いた茶色の犬
3589267801_5a222e3a60.jpg#3	茶色の首輪を入れた茶色の犬が砂を掘ります。
3589267801_5a222e3a60.jpg#4	犬は汚れの穴を掘っています
3589367895_5d3729e3ea.jpg#0	インド人にdressした男、マイクに話しかける
3589367895_5d3729e3ea.jpg#1	ネイティブアメリカンは、彼の楽器を演奏する準備ができているマイクに立っています。
3589367895_5d3729e3ea.jpg#2	フルドレスのインドのチーフ。
3589367895_5d3729e3ea.jpg#3	ヘッドギアを着ているインド人は話します
3589367895_5d3729e3ea.jpg#4	服を着た男は、羽を着たインド人がマイクの前に立っているのが好きでした。
3589368949_0866846949.jpg#0	ネイティブアメリカンのバンドは、テントの下で楽器を演奏します。
3589368949_0866846949.jpg#1	シェルターダンスの下に楽器を備えたネイティブドレスを着たインディアン。
3589368949_0866846949.jpg#2	ネイティブアメリカンの衣装を着た人々は、パフォーマンスを発揮します。
3589368949_0866846949.jpg#3	ネイティブアメリカンの衣装を着たミュージシャンの中には、伝統的な楽器を演奏しています。
3589368949_0866846949.jpg#4	3人のインディアンが踊り、楽器を演奏しています。
3589895574_ee08207d26.jpg#0	子供は遊び場の機器で遊んでいます。
3589895574_ee08207d26.jpg#1	女の子が公園の金属製のバーにぶら下がっています。
3589895574_ee08207d26.jpg#2	カメラで遊び場の装備からぶら下がっている幸せな子供。
3589895574_ee08207d26.jpg#3	スウェットシャツのジャケットを着た小さな女の子がバーにつかまっています。
3589895574_ee08207d26.jpg#4	メタルバーからぶら下がっている灰色のスウェットシャツの子供
3590294974_4ef98f013e.jpg#0	白いタンクを着た男は、赤いBMX自転車でジャンプを攻撃します。
3590294974_4ef98f013e.jpg#1	男がシティスケートパークで赤と黒の自転車を飛び越えています。
3590294974_4ef98f013e.jpg#2	白いタンクトップを着ている男がジャンプに沿って赤い自転車に乗っています。
3590294974_4ef98f013e.jpg#3	若い男がベンチの上に傾斜した壁から自転車を飛び越えます。
3590294974_4ef98f013e.jpg#4	セメントの斜面に乗っているサイクリスト。
3590557969_d0270d518b.jpg#0	シャツを着ていない男と帽子が赤い自転車で空中にジャンプします。
3590557969_d0270d518b.jpg#1	シャツを着ていない男は、赤と黒の自転車にトリックをします。
3590557969_d0270d518b.jpg#2	非常に少ない服を着ている男が赤い自転車でジャンプしています。
3590557969_d0270d518b.jpg#3	森の中で自転車をジャンプする上半身裸の男。
3590557969_d0270d518b.jpg#4	上半身裸の男が彼のBMXバイクをジャンプします。
3590593467_be497a6139.jpg#0	レーシングバイクのライダーが自転車から落ち、別のライダーが後ろに運転している間、地面に滑り落ちています。
3590593467_be497a6139.jpg#1	地面で一人の男をレースするダートバイク
3590593467_be497a6139.jpg#2	バイクには1人の人と地面に落ちた人が1人います。
3590593467_be497a6139.jpg#3	レーシングバイクには1人の人と地面に1人がいます。
3590593467_be497a6139.jpg#4	トラック上の2人のオートバイレーサー、1つはオートバイのないものです。
3590647207_2d4ec3f52c.jpg#0	複数の国の旗を掲げながら馬に乗っている女性のグループ
3590647207_2d4ec3f52c.jpg#1	米国旗とカナダ旗を振っているカウガール
3590647207_2d4ec3f52c.jpg#2	旗を掲げて馬に乗っている数人。
3590647207_2d4ec3f52c.jpg#3	ロデオでアメリカ人とカナダの旗を運んでいる馬に乗っている2人の女性。
3590647207_2d4ec3f52c.jpg#4	女性は、カナダと米国の旗を運ぶアリーナで馬に乗っています。
3590653633_495de5f288.jpg#0	砂の中に立っているロデオのピエロにdressした男の子と男
3590653633_495de5f288.jpg#1	ロデオのピエロは、彼が土の中に座っているときに、古いロデオのピエロの周りにロープを結びます。
3590653633_495de5f288.jpg#2	2つのロデオピエロが遠くの何かを見ています。
3590653633_495de5f288.jpg#3	2つのロデオのピエロが汚れの上にあります。
3590653633_495de5f288.jpg#4	2つのロデオピエロ、1つは若い1つ、もう1つは大人で、質問を待っています。
3590654365_fd4819f48b.jpg#0	雄牛は彼からライダーを投げていますが、他のいくつかのカウボーイはそれを抑えようとします。
3590654365_fd4819f48b.jpg#1	ロデオの間に男が雄牛から投げ出されています。
3590654365_fd4819f48b.jpg#2	雄牛のバッキングをしたロデオの4人の男性
3590654365_fd4819f48b.jpg#3	紫色のシャツを着た男は、雄牛の頭から落ちます。
3590654365_fd4819f48b.jpg#4	3人がロデオで雄牛と格闘します。
3590739067_58baffb3a7.jpg#0	女性はギターを弾いています。
3590739067_58baffb3a7.jpg#1	ギターを持った女性が建物と草の前で歌います。
3590739067_58baffb3a7.jpg#2	ナイロンの弦楽ギターを持っている女性がフィールドで演奏しています
3590739067_58baffb3a7.jpg#3	若い女性は、古い木製の構造の近くの畑で歌で声を持ち上げます。
3590739067_58baffb3a7.jpg#4	女の子は田舎のシーンで歌いながらギターを演奏します。
3590753142_61993d39df.jpg#0	家族は水域の上を都市の双眼鏡を通して見ています
3590753142_61993d39df.jpg#1	観光客は都市の水を見渡せます。
3590753142_61993d39df.jpg#2	3人が高層ビルに満たされた都市を見てフェンスに立っていますが、双眼鏡の範囲を調べています。
3590753142_61993d39df.jpg#3	3人が手すりに寄りかかって、水の向こう側の建物を見ます。
3590753142_61993d39df.jpg#4	歩道に立っている3人が、水の向こう側の建物を見ています。
